date,land,is_cold_day,is_warm_day,is_hot_day,is_rainy_sum,is_rainy_time,is_rainy_time2
2013-01-01,BE/BB,0,0,0,0,0,0
2013-01-01,BW,0,0,0,0,1,0
2013-01-01,BY,0,0,0,0,0,0
2013-01-01,HB/NI,0,0,0,1,1,1
2013-01-01,HE,0,0,0,0,1,0
2013-01-01,HH,0,0,0,1,1,1
2013-01-01,NW,0,0,0,1,1,0
2013-01-01,RP,0,0,0,0,1,0
2013-01-01,SH/MV,0,0,0,0,1,0
2013-01-01,SL,0,0,0,1,1,0
2013-01-01,SN,0,0,0,0,0,0
2013-01-01,ST,0,0,0,0,0,0
2013-01-01,TH,0,0,0,0,0,0
2013-01-02,BE/BB,0,0,0,0,1,0
2013-01-02,BW,0,0,0,0,0,0
2013-01-02,BY,0,0,0,0,0,0
2013-01-02,HB/NI,0,0,0,0,0,0
2013-01-02,HE,0,0,0,0,0,0
2013-01-02,HH,0,0,0,0,0,0
2013-01-02,NW,0,0,0,0,0,0
2013-01-02,RP,0,0,0,0,0,0
2013-01-02,SH/MV,0,0,0,0,0,0
2013-01-02,SL,0,0,0,0,0,0
2013-01-02,SN,0,0,0,0,0,0
2013-01-02,ST,0,0,0,0,0,0
2013-01-02,TH,0,0,0,0,0,0
2013-01-03,BE/BB,0,0,0,0,0,0
2013-01-03,BW,0,0,0,0,0,0
2013-01-03,BY,0,0,0,0,1,0
2013-01-03,HB/NI,0,0,0,0,0,0
2013-01-03,HE,0,0,0,0,0,0
2013-01-03,HH,0,0,0,0,0,0
2013-01-03,NW,0,0,0,0,1,0
2013-01-03,RP,0,0,0,0,0,0
2013-01-03,SH/MV,0,0,0,0,0,0
2013-01-03,SL,0,0,0,0,0,0
2013-01-03,SN,0,0,0,0,0,0
2013-01-03,ST,0,0,0,0,0,0
2013-01-03,TH,0,0,0,0,0,0
2013-01-04,BE/BB,0,0,0,1,1,0
2013-01-04,BW,0,0,0,0,0,0
2013-01-04,BY,0,0,0,0,1,0
2013-01-04,HB/NI,0,0,0,0,0,0
2013-01-04,HE,0,0,0,0,0,0
2013-01-04,HH,0,0,0,0,0,0
2013-01-04,NW,0,0,0,0,0,0
2013-01-04,RP,0,0,0,0,0,0
2013-01-04,SH/MV,0,0,0,0,1,0
2013-01-04,SL,0,0,0,0,0,0
2013-01-04,SN,0,0,0,1,0,0
2013-01-04,ST,0,0,0,0,0,0
2013-01-04,TH,0,0,0,0,0,0
2013-01-05,BE/BB,0,0,0,0,0,0
2013-01-05,BW,0,0,0,0,1,1
2013-01-05,BY,0,0,0,1,1,1
2013-01-05,HB/NI,0,0,0,0,0,0
2013-01-05,HE,0,0,0,0,0,0
2013-01-05,HH,0,0,0,0,0,0
2013-01-05,NW,0,0,0,0,0,0
2013-01-05,RP,0,0,0,0,0,0
2013-01-05,SH/MV,0,0,0,0,0,0
2013-01-05,SL,0,0,0,0,0,0
2013-01-05,SN,0,0,0,0,1,1
2013-01-05,ST,0,0,0,0,0,0
2013-01-05,TH,0,0,0,0,1,1
2013-01-06,BE/BB,0,0,0,0,1,0
2013-01-06,BW,0,0,0,0,0,0
2013-01-06,BY,0,0,0,0,1,0
2013-01-06,HB/NI,0,0,0,0,0,0
2013-01-06,HE,0,0,0,0,0,0
2013-01-06,HH,0,0,0,0,0,0
2013-01-06,NW,0,0,0,0,0,0
2013-01-06,RP,0,0,0,0,0,0
2013-01-06,SH/MV,0,0,0,0,0,0
2013-01-06,SL,0,0,0,0,0,0
2013-01-06,SN,0,0,0,0,1,1
2013-01-06,ST,0,0,0,0,1,0
2013-01-06,TH,0,0,0,0,0,0
2013-01-07,BE/BB,0,0,0,0,0,0
2013-01-07,BW,0,0,0,0,0,0
2013-01-07,BY,0,0,0,0,0,0
2013-01-07,HB/NI,0,0,0,0,0,0
2013-01-07,HE,0,0,0,0,0,0
2013-01-07,HH,0,0,0,0,0,0
2013-01-07,NW,0,0,0,0,0,0
2013-01-07,RP,0,0,0,0,0,0
2013-01-07,SH/MV,0,0,0,0,0,0
2013-01-07,SL,0,0,0,0,0,0
2013-01-07,SN,0,0,0,0,0,0
2013-01-07,ST,0,0,0,0,0,0
2013-01-07,TH,0,0,0,0,0,0
2013-01-08,BE/BB,0,0,0,0,1,0
2013-01-08,BW,0,0,0,0,0,0
2013-01-08,BY,0,0,0,0,0,0
2013-01-08,HB/NI,0,0,0,0,1,0
2013-01-08,HE,0,0,0,0,0,0
2013-01-08,HH,0,0,0,0,0,0
2013-01-08,NW,0,0,0,0,0,0
2013-01-08,RP,0,0,0,0,0,0
2013-01-08,SH/MV,0,0,0,0,0,0
2013-01-08,SL,0,0,0,0,0,0
2013-01-08,SN,0,0,0,0,1,1
2013-01-08,ST,0,0,0,0,1,0
2013-01-08,TH,0,0,0,0,1,0
2013-01-09,BE/BB,0,0,0,0,1,0
2013-01-09,BW,0,0,0,0,0,0
2013-01-09,BY,0,0,0,0,0,0
2013-01-09,HB/NI,0,0,0,1,1,0
2013-01-09,HE,0,0,0,0,0,0
2013-01-09,HH,0,0,0,1,1,1
2013-01-09,NW,0,0,0,0,1,0
2013-01-09,RP,0,0,0,0,0,0
2013-01-09,SH/MV,0,0,0,1,1,1
2013-01-09,SL,0,0,0,0,0,0
2013-01-09,SN,0,0,0,0,1,0
2013-01-09,ST,0,0,0,0,1,0
2013-01-09,TH,0,0,0,0,1,0
2013-01-10,BE/BB,0,0,0,0,1,0
2013-01-10,BW,0,0,0,0,1,0
2013-01-10,BY,0,0,0,0,0,0
2013-01-10,HB/NI,0,0,0,0,1,0
2013-01-10,HE,0,0,0,0,0,0
2013-01-10,HH,0,0,0,0,1,0
2013-01-10,NW,0,0,0,0,0,0
2013-01-10,RP,0,0,0,0,0,0
2013-01-10,SH/MV,0,0,0,0,0,0
2013-01-10,SL,0,0,0,0,1,1
2013-01-10,SN,0,0,0,0,1,0
2013-01-10,ST,0,0,0,0,1,0
2013-01-10,TH,0,0,0,0,0,0
2013-01-11,BE/BB,1,0,0,0,0,0
2013-01-11,BW,0,0,0,0,0,0
2013-01-11,BY,0,0,0,0,0,0
2013-01-11,HB/NI,1,0,0,0,0,0
2013-01-11,HE,0,0,0,0,0,0
2013-01-11,HH,1,0,0,0,0,0
2013-01-11,NW,1,0,0,0,0,0
2013-01-11,RP,0,0,0,0,0,0
2013-01-11,SH/MV,1,0,0,0,0,0
2013-01-11,SL,0,0,0,0,0,0
2013-01-11,SN,1,0,0,0,1,0
2013-01-11,ST,1,0,0,0,0,0
2013-01-11,TH,1,0,0,0,0,0
2013-01-12,BE/BB,1,0,0,0,0,0
2013-01-12,BW,0,0,0,0,1,0
2013-01-12,BY,1,0,0,0,1,0
2013-01-12,HB/NI,1,0,0,0,0,0
2013-01-12,HE,1,0,0,0,0,0
2013-01-12,HH,1,0,0,0,0,0
2013-01-12,NW,1,0,0,0,0,0
2013-01-12,RP,1,0,0,0,0,0
2013-01-12,SH/MV,1,0,0,0,0,0
2013-01-12,SL,1,0,0,0,0,0
2013-01-12,SN,1,0,0,0,0,0
2013-01-12,ST,1,0,0,0,0,0
2013-01-12,TH,1,0,0,0,0,0
2013-01-13,BE/BB,1,0,0,0,0,0
2013-01-13,BW,1,0,0,0,0,0
2013-01-13,BY,1,0,0,0,0,0
2013-01-13,HB/NI,1,0,0,0,0,0
2013-01-13,HE,1,0,0,0,0,0
2013-01-13,HH,1,0,0,0,0,0
2013-01-13,NW,1,0,0,0,0,0
2013-01-13,RP,1,0,0,0,0,0
2013-01-13,SH/MV,1,0,0,0,0,0
2013-01-13,SL,1,0,0,0,0,0
2013-01-13,SN,1,0,0,0,0,0
2013-01-13,ST,1,0,0,0,0,0
2013-01-13,TH,1,0,0,0,0,0
2013-01-14,BE/BB,1,0,0,0,0,0
2013-01-14,BW,1,0,0,0,0,0
2013-01-14,BY,1,0,0,0,0,0
2013-01-14,HB/NI,1,0,0,0,0,0
2013-01-14,HE,1,0,0,0,0,0
2013-01-14,HH,1,0,0,0,0,0
2013-01-14,NW,1,0,0,0,0,0
2013-01-14,RP,1,0,0,0,0,0
2013-01-14,SH/MV,1,0,0,0,0,0
2013-01-14,SL,1,0,0,0,0,0
2013-01-14,SN,1,0,0,0,0,0
2013-01-14,ST,1,0,0,0,0,0
2013-01-14,TH,1,0,0,0,0,0
2013-01-15,BE/BB,1,0,0,0,0,0
2013-01-15,BW,1,0,0,0,0,0
2013-01-15,BY,1,0,0,0,0,0
2013-01-15,HB/NI,1,0,0,0,0,0
2013-01-15,HE,1,0,0,0,0,0
2013-01-15,HH,1,0,0,0,0,0
2013-01-15,NW,1,0,0,0,1,1
2013-01-15,RP,1,0,0,0,0,0
2013-01-15,SH/MV,1,0,0,0,0,0
2013-01-15,SL,1,0,0,0,1,0
2013-01-15,SN,1,0,0,0,0,0
2013-01-15,ST,1,0,0,0,0,0
2013-01-15,TH,1,0,0,0,0,0
2013-01-16,BE/BB,1,0,0,0,0,0
2013-01-16,BW,1,0,0,0,0,0
2013-01-16,BY,1,0,0,0,1,0
2013-01-16,HB/NI,1,0,0,0,0,0
2013-01-16,HE,1,0,0,0,0,0
2013-01-16,HH,1,0,0,0,0,0
2013-01-16,NW,1,0,0,0,0,0
2013-01-16,RP,1,0,0,0,0,0
2013-01-16,SH/MV,1,0,0,0,0,0
2013-01-16,SL,1,0,0,0,0,0
2013-01-16,SN,1,0,0,0,0,0
2013-01-16,ST,1,0,0,0,0,0
2013-01-16,TH,1,0,0,0,1,0
2013-01-17,BE/BB,1,0,0,0,0,0
2013-01-17,BW,1,0,0,0,1,1
2013-01-17,BY,1,0,0,1,1,1
2013-01-17,HB/NI,1,0,0,0,0,0
2013-01-17,HE,1,0,0,0,0,0
2013-01-17,HH,1,0,0,0,0,0
2013-01-17,NW,1,0,0,0,0,0
2013-01-17,RP,1,0,0,0,0,0
2013-01-17,SH/MV,1,0,0,0,0,0
2013-01-17,SL,1,0,0,0,0,0
2013-01-17,SN,1,0,0,0,1,0
2013-01-17,ST,1,0,0,0,0,0
2013-01-17,TH,1,0,0,0,1,0
2013-01-18,BE/BB,1,0,0,0,0,0
2013-01-18,BW,1,0,0,0,0,0
2013-01-18,BY,1,0,0,0,0,0
2013-01-18,HB/NI,1,0,0,0,0,0
2013-01-18,HE,1,0,0,0,0,0
2013-01-18,HH,1,0,0,0,0,0
2013-01-18,NW,1,0,0,0,0,0
2013-01-18,RP,1,0,0,0,0,0
2013-01-18,SH/MV,1,0,0,0,0,0
2013-01-18,SL,1,0,0,0,0,0
2013-01-18,SN,1,0,0,0,0,0
2013-01-18,ST,1,0,0,0,0,0
2013-01-18,TH,1,0,0,0,0,0
2013-01-19,BE/BB,1,0,0,0,0,0
2013-01-19,BW,1,0,0,0,0,0
